group_fig2c	binID	GeneID	gene	KO	KO_Defintion	product	EC	FunC_ID
dgat	D15_G1.8	D15_G1.8_PROKKA_147237	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3848	2.3.1.20	3
dgat	D15_G1.8	D15_G1.8_PROKKA_157944	tgs2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs2	2.3.1.20	3
dgat	D15_G1.8	D15_G1.8_PROKKA_31622	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2343	2.3.1.20	3
dgat	D15_G4	D15_G4_PROKKA_126747	wax-dgaT_12	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	D15_G4	D15_G4_PROKKA_14331	wax-dgaT_3	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	D15_L1.3	D15_L1.3_PROKKA_189986	wax-dgaT_17	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	D20_O1.17	D20_O1.17_PROKKA_151122	tgs1_7	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	3
dgat	D20_O1.17	D20_O1.17_PROKKA_211810	tgs2_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs2	2.3.1.20	3
dgat	D20_P23	D20_P23_PROKKA_59492	tgs1_3	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	3
dgat	D22_G1.42.2	D22_G1.42.2_PROKKA_224210	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D22_L1.5.4	D22_L1.5.4_PROKKA_39546	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D22_L1.5.4	D22_L1.5.4_PROKKA_65122	tgs3_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs3	2.3.1.20	1
dgat	D24_L14	D24_L14_PROKKA_92929	tgs4_1	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase Tgs4	2.3.1.20	3
dgat	D24_L14	D24_L14_PROKKA_284519	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D27_L1.3.2	D27_L1.3.2_PROKKA_68789	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3584	2.3.1.20	3
dgat	D27_L1.3.2	D27_L1.3.2_PROKKA_148637	wax-dgaT_6	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	D28_L2.9	D28_L2.9_PROKKA_83262	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D28_L2.9	D28_L2.9_PROKKA_08569	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT0231	2.3.1.20	1
dgat	D28_L2.9	D28_L2.9_PROKKA_203231	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3172	2.3.1.20	1
dgat	D28_L2.9	D28_L2.9_PROKKA_205643	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D28_L2.9	D28_L2.9_PROKKA_220843	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D28_L2.9	D28_L2.9_PROKKA_268328	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D29_L5	D29_L5_PROKKA_04782	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase	2.3.1.20	1
dgat	D29_L5	D29_L5_PROKKA_165743	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase	2.3.1.20	1
dgat	D29_L5	D29_L5_PROKKA_271632	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase	2.3.1.20	1
dgat	D29_L5	D29_L5_PROKKA_281660	tgs1_18	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D29_L5	D29_L5_PROKKA_313557	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase	2.3.1.20	1
dgat	D29_O1.25	D29_O1.25_PROKKA_127616	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	hypothetical protein	NA	1
dgat	D29_O1.25	D29_O1.25_PROKKA_212502	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase	2.3.1.20	1
dgat	D29_O1.25	D29_O1.25_PROKKA_270139	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase	2.3.1.20	1
dgat	D30_G5	D30_G5_PROKKA_71191	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D30_G5	D30_G5_PROKKA_93475	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D30_G5	D30_G5_PROKKA_116526	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D30_G5	D30_G5_PROKKA_171707	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D30_G5	D30_G5_PROKKA_241342	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D30_G5	D30_G5_PROKKA_28000	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT0231	2.3.1.20	1
dgat	D32_O1.57	D32_O1.57_PROKKA_16161	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D36_L1.15	D36_L1.15_PROKKA_148955	tgs1_7	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	3
dgat	D36_L1.41	D36_L1.41_PROKKA_114252	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3584	2.3.1.20	1
dgat	D36_L1.41	D36_L1.41_PROKKA_220379	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G11	D37_G11_PROKKA_79011	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G11	D37_G11_PROKKA_81679	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G11	D37_G11_PROKKA_217168	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G11	D37_G11_PROKKA_241125	tgs1_14	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D37_G11	D37_G11_PROKKA_23695	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G11	D37_G11_PROKKA_69584	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_99147	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_99304	tgs1_12	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_112514	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_15308	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_27018	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_54812	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D37_G1.25.1	D37_G1.25.1_PROKKA_59287	tgs1_7	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D39_O1.57	D39_O1.57_PROKKA_87322	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D39_O1.57	D39_O1.57_PROKKA_91454	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D39_O1.57	D39_O1.57_PROKKA_10497	tgs3	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs3	2.3.1.20	1
dgat	D39_O1.57	D39_O1.57_PROKKA_213642	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D39_O1.57	D39_O1.57_PROKKA_260874	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D42_G14	D42_G14_PROKKA_137433	wax-dgaT_8	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	1
dgat	D42_G14	D42_G14_PROKKA_192911	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3584	2.3.1.20	1
dgat	D43_G6	D43_G6_PROKKA_62535	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D43_G6	D43_G6_PROKKA_191408	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D43_G6	D43_G6_PROKKA_192128	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D43_G6	D43_G6_PROKKA_221789	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D43_G6	D43_G6_PROKKA_01613	tgs1_1	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D43_G6	D43_G6_PROKKA_43559	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D44_G14	D44_G14_PROKKA_106995	wax-dgaT_6	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	D46_L2.48	D46_L2.48_PROKKA_244416	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D47_G1.71.2	D47_G1.71.2_PROKKA_183656	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_94408	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_124054	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_163246	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_188761	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_194683	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_194685	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT0231	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_256210	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D51_G1.1.2	D51_G1.1.2_PROKKA_24409	tgs1_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D51_G9	D51_G9_PROKKA_187768	tgs1_5	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_09068	NA	K14674	TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	hypothetical protein	NA	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_19655	lip_15	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_34409	ytpA_13	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_39594	lip_25	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_39595	lip_26	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_45439	ytpA_15	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_54019	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	hypothetical protein	NA	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_06821	lip_10	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_06820	lip_9	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_55054	lip_35	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	A01_O1.2.4	A01_O1.2.4_PROKKA_55668	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	Alpha/beta hydrolase family protein	NA	3
tag lipase	D04_G2.13	D04_G2.13_PROKKA_101408	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	CHAT domain protein	NA	4
tag lipase	D04_G2.5	D04_G2.5_PROKKA_73352	NA	K01054	acylglycerol lipase [EC:3.1.1.23]	Alpha/beta hydrolase family protein	NA	1
tag lipase	D04_G2.5	D04_G2.5_PROKKA_62317	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	Alpha/beta hydrolase family protein	NA	1
tag lipase	D04_L6	D04_L6_PROKKA_282855	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	Alpha/beta hydrolase family protein	NA	1
tag lipase	D04_O2.19	D04_O2.19_PROKKA_127735	ytpA_14	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	1
tag lipase	D04_O2.19	D04_O2.19_PROKKA_158658	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	putative inactive lipase/MT1628	NA	1
tag lipase	D04_O2.19	D04_O2.19_PROKKA_253317	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	esterase	NA	1
tag lipase	D04_O2.19	D04_O2.19_PROKKA_22593	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	Alpha/beta hydrolase family protein	NA	1
tag lipase	D05_G3.4	D05_G3.4_PROKKA_151765	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	hypothetical protein	NA	1
tag lipase	D05_L3.17	D05_L3.17_PROKKA_75609	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	PGAP1-like protein	NA	3
tag lipase	D05_L3.17	D05_L3.17_PROKKA_95441	NA	K14674	TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	hypothetical protein	NA	3
tag lipase	D05_L3.17	D05_L3.17_PROKKA_181293	NA	K14674	TAG lipase / steryl ester hydrolase / phospholipase A2 / LPA acyltransferase [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]	Patatin-like phospholipase	NA	3
tag lipase	D08_G1.16	D08_G1.16_PROKKA_143982	estB_22	K01046	triacylglycerol lipase [EC:3.1.1.3]	Extracellular esterase EstB precursor	3.1.1.3	2
tag lipase	D08_G1.16	D08_G1.16_PROKKA_18394	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lipase (class 3)	NA	2
tag lipase	D08_O6	D08_O6_PROKKA_176432	ytpA_21	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	4
tag lipase	D09_G1.28	D09_G1.28_PROKKA_110831	ytpA_19	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	1
tag lipase	D09_G1.28	D09_G1.28_PROKKA_48136	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	PGAP1-like protein	NA	1
tag lipase	D10_O1.45	D10_O1.45_PROKKA_200740	lip_32	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lipase precursor	3.1.1.3	2
tag lipase	D10_O1.45	D10_O1.45_PROKKA_202634	ytpA_23	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	2
tag lipase	D10_O1.45	D10_O1.45_PROKKA_231122	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	PGAP1-like protein	NA	2
tag lipase	D10_O1.45	D10_O1.45_PROKKA_242674	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	hypothetical protein	NA	2
tag lipase	D11_O1.27.3	D11_O1.27.3_PROKKA_171970	lip_17	K01046	triacylglycerol lipase [EC:3.1.1.3]	Lactonizing lipase precursor	3.1.1.3	3
tag lipase	D11_O1.27.3	D11_O1.27.3_PROKKA_237786	estB_34	K01046	triacylglycerol lipase [EC:3.1.1.3]	Extracellular esterase EstB precursor	3.1.1.3	3
tag lipase	D11_O1.27.3	D11_O1.27.3_PROKKA_29770	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	PGAP1-like protein	NA	3
tag lipase	D11_O1.27.3	D11_O1.27.3_PROKKA_42452	ytpA_6	K01054	acylglycerol lipase [EC:3.1.1.23]	Phospholipase YtpA	3.1.1.-	3
tag lipase	D11_O1.7	D11_O1.7_PROKKA_79706	NA	K01046	triacylglycerol lipase [EC:3.1.1.3]	hypothetical protein	NA	1
